ArcLen,ML,LES,RANS
0.0213399999999997,0.0241463564793794,0.0241463564793794,0.00172861177593252
0.0711599999999996,0.0565362505098389,0.0565362505098389,0.0110650054254558
0.18556,0.235615246685085,0.23662913739101,0.30867457269726
0.24277,0.382353978282785,0.384172290927561,0.40103660835905
0.2998,0.41664809185566,0.418628937303279,0.404318047143748
0.35662,0.384350061180671,0.386162394280569,0.383257274343366
0.41324,0.332839506552873,0.334368146033261,0.35689032883649
0.46965,0.299195043211254,0.300545623850458,0.327085722201273
0.52589,0.260561957935402,0.261705517034392,0.295317947099882
0.58197,0.227475473861616,0.228437083952194,0.267484974180987
0.63792,0.20573668069846,0.206584425478864,0.243915409063974
0.69377,0.180216271749921,0.180920865302479,0.223497995274851
0.74953,0.164254742464003,0.1648384291574,0.205547817119814
0.80524,0.144976108755377,0.145471475954842,0.18968009050122
0.8609,0.13249893414805,0.13292366653071,0.175601609936665
0.91652,0.115819897955257,0.116173245192123,0.16303456130765
0.97211,0.104203673918564,0.104491199987687,0.15136790746712
