cellID X_coor Y_coor Z_coor UMean_X UMean_Y UMean_Z CpMean It Uin gradp Angle
34550 0.0248365 0.446864 0.0248368 13.9829 1.4088 0.547738 -0.476762 0.0496174 1.0481 2.57237 0
95962 0.0190115 0.441162 0.0190117 12.3582 1.53734 0.681181 -0.520709 0.0596943 1.04541 2.50519 0
95967 0.0248372 0.441184 0.0190118 11.9136 1.25563 0.637851 -0.518374 0.0633058 1.04542 2.2923 0
96014 0.0190115 0.441184 0.0248374 12.87 1.47409 0.769167 -0.514278 0.0545646 1.04542 2.64751 0
96020 0.0248371 0.441205 0.0248374 12.5052 1.20594 0.716676 -0.511754 0.0572208 1.04543 2.43526 0
96175 0.0190114 0.446828 0.0190116 13.9711 1.7249 0.512253 -0.483314 0.0508128 1.04808 2.7056 0
96181 0.0248366 0.446846 0.0190116 13.742 1.47225 0.480809 -0.483461 0.0517434 1.04809 2.56208 0
96235 0.0190114 0.446846 0.0248368 14.1722 1.65157 0.589313 -0.476684 0.0491559 1.04809 2.71789 0
96293 -0.0276764 0.441297 -0.0276768 14.6297 3.95757 -0.988731 -0.418974 0.053426 1.04547 4.26799 0
96300 -0.0276792 0.441231 0.0190122 14.5468 4.1554 0.774855 -0.425874 0.0535242 1.04544 4.19121 0
96302 -0.0276783 0.441264 -0.0218214 14.5651 4.10581 -0.82655 -0.423394 0.0534882 1.04546 4.23027 0
96307 0.0248379 0.441251 -0.0276778 12.7042 1.19124 -0.698998 -0.508045 0.0554755 1.04545 2.3302 0
96310 0.0656022 0.441664 -0.0276462 10.8908 0.0139737 -0.25401 -0.439433 0.0667479 1.04565 1.16255 0
96312 0.0248377 0.441217 -0.0218221 12.1094 1.24252 -0.638687 -0.515791 0.0614106 1.04544 2.21863 0
96314 0.0655966 0.441626 0.0190124 9.66673 0.0285264 0.272861 -0.443916 0.0780134 1.04563 1.28377 0
96316 0.0655998 0.441646 -0.0218 9.96987 0.0225949 -0.254373 -0.442883 0.0754117 1.04564 1.13341 0
96332 -0.0276777 0.441251 0.0248379 14.61 4.01777 0.946885 -0.422631 0.0535266 1.04545 4.24475 0
96336 -0.0276462 0.441664 0.0656022 14.7694 2.89679 1.46556 -0.330229 0.0500027 1.04565 3.44908 0
96339 -0.0218221 0.441217 0.0248377 14.5766 3.69274 0.932505 -0.44791 0.0518381 1.04544 4.02949 0
96340 0.0190114 0.441626 0.0655975 14.6789 1.23061 0.567046 -0.423109 0.0434594 1.04563 2.41922 0
96343 -0.0218001 0.441646 0.0655999 14.8178 2.66523 1.34048 -0.353153 0.0494426 1.04564 3.39607 0
96344 0.0651854 0.403948 0.0651849 0.523467 0.33966 -0.700347 -0.447667 0.0240684 1.02715 1.6501 0
96346 0.0655975 0.441637 0.024838 10.5682 0.0145404 0.286477 -0.44092 0.069654 1.04564 1.32871 0
96347 0.0248368 0.441637 0.0655988 14.6131 1.06193 0.474988 -0.423755 0.0427225 1.04564 2.27873 0
96350 0.0656149 0.44182 0.0656199 14.0708 0.22417 -0.0112111 -0.392402 0.0398663 1.04572 1.26218 0
96357 0.0190122 0.441231 -0.0276793 13.0414 1.45298 -0.755812 -0.510412 0.05325 1.04544 2.55648 0
96360 -0.0218211 0.441264 -0.0276786 14.6029 3.63479 -0.967566 -0.444101 0.0518024 1.04546 4.03831 0
96818 0.019012 0.441196 -0.0218232 12.5266 1.52094 -0.686918 -0.517989 0.058044 1.04543 2.43803 0
96820 -0.0218231 0.441196 0.019012 14.4933 3.83013 0.771171 -0.451553 0.0518693 1.04543 3.99678 0
96822 -0.0218224 0.44123 -0.0218227 14.519 3.78202 -0.817461 -0.448879 0.0518214 1.04544 4.02757 0
96823 -0.021761 0.402119 0.0190065 -1.84356 0.216078 -1.1701 -0.636404 0.00359375 1.02621 0.75046 0
97861 -0.0455588 0.418989 -0.0455598 12.185 4.91563 -2.42556 -0.569365 0.0451566 1.03468 8.29898 0
97866 -0.0276955 0.418754 -0.0456014 7.72658 1.75332 -2.12522 -0.633107 0.0484787 1.03457 3.84861 0
97867 -0.0456009 0.418754 -0.027696 10.9196 5.4009 -1.77971 -0.584283 0.0446797 1.03457 6.30645 0
97868 -0.051585 0.419355 -0.0515866 13.2614 5.46316 -2.56367 -0.486092 0.0534399 1.03486 10.8674 0
97875 -0.045528 0.419182 -0.051626 12.7319 4.5322 -2.43275 -0.543013 0.0462459 1.03478 8.44935 0
97881 -0.0276883 0.41897 -0.0516762 9.51154 2.00865 -1.78115 -0.604923 0.0458438 1.03467 4.08946 0
97882 -0.0516246 0.419182 -0.0455294 12.9007 5.9003 -2.43944 -0.502602 0.0530261 1.03478 11.0357 0
97888 -0.0516755 0.41897 -0.0276889 12.2458 6.40596 -1.70828 -0.51166 0.0501926 1.03467 9.42823 0
97898 -0.0456095 0.418698 -0.00429495 9.67772 5.59474 -0.311695 -0.557722 0.0467033 1.03454 4.36174 0
97901 -0.0276063 0.402121 -0.00428195 -3.55155 0.0933656 0.131704 -0.619259 0.00247778 1.02622 0.378905 0
97902 -0.0456053 0.418728 -0.0218222 10.4761 5.50579 -1.43588 -0.576633 0.0446313 1.03455 5.80965 0
97905 -0.0516851 0.418918 0.00153419 11.4328 6.85814 0.125387 -0.500409 0.0467045 1.03465 7.39649 0
97911 -0.0516826 0.418929 0.0190111 11.935 6.58346 1.27287 -0.506138 0.0487958 1.03465 8.63316 0
97912 -0.0516849 0.418919 -0.00429436 11.4622 6.83956 -0.260459 -0.500255 0.0467926 1.03465 7.51255 0
97917 -0.0516805 0.418947 -0.0218184 12.0036 6.54 -1.39387 -0.506374 0.0490456 1.03466 8.89336 0
97919 -0.0456096 0.418696 0.00153393 9.63577 5.59376 0.169565 -0.55755 0.0467918 1.03454 4.21549 0
97920 -0.0276064 0.402121 0.00154054 -3.62611 0.0828334 -0.100085 -0.618541 0.00246313 1.02621 0.182993 0
97925 -0.0456074 0.41871 0.0190105 10.3628 5.52863 1.32552 -0.575413 0.0446379 1.03455 5.53586 0
97926 0.0481419 0.418981 -0.0455581 5.33657 -0.344843 0.930011 -0.496326 0.0491555 1.03468 1.15303 0
97929 0.0656017 0.419619 -0.0276732 2.01238 -0.0224435 0.768701 -0.456658 0.0521149 1.03499 1.15945 0
97931 0.0656302 0.419765 -0.0454452 5.54086 -0.383017 0.901116 -0.444182 0.0521079 1.03507 1.04377 0
97932 0.0481328 0.418748 -0.027695 1.57596 0.0160877 0.710719 -0.512827 0.0459582 1.03456 1.15438 0
97933 0.0423183 0.419066 -0.0516502 6.25134 -0.320041 0.998858 -0.505751 0.0496506 1.03472 1.14844 0
97939 0.0248364 0.418942 -0.0516799 6.40354 -0.127129 0.943667 -0.5443 0.0484867 1.03466 1.13298 0
97940 0.0481486 0.419172 -0.0516242 6.2321 -0.370643 0.993211 -0.490383 0.0502131 1.03477 1.15434 0
97946 0.065652 0.419873 -0.0514672 6.39748 -0.411834 0.942609 -0.440108 0.0520164 1.03512 1.0065 0
97947 0.0423142 0.418863 -0.0455793 5.31632 -0.299439 0.924377 -0.512364 0.0484824 1.03462 1.12734 0
97952 0.0248355 0.418724 -0.0456048 5.22508 -0.152302 0.816939 -0.553919 0.0477296 1.03455 1.09329 0
97953 0.0423084 0.418614 -0.027701 1.46886 0.106035 0.669138 -0.529304 0.0439773 1.0345 1.10672 0
97956 0.0655979 0.419601 -0.0218104 0.992957 0.177758 0.67658 -0.458228 0.0492872 1.03499 1.18647 0
97958 0.0481317 0.418723 -0.0218214 0.453793 0.124257 0.599737 -0.515119 0.0443985 1.03455 1.14342 0
97960 0.0655931 0.419578 -0.00429343 -0.616064 0.835403 0.145086 -0.454754 0.0335373 1.03497 1.07451 0
97978 0.0655943 0.419587 0.0190114 0.725395 0.250515 -0.658349 -0.458552 0.0477698 1.03498 1.37726 0
97980 0.0655927 0.419577 0.00153468 -0.649481 0.85736 -0.0966052 -0.454612 0.0328933 1.03497 1.14912 0
97981 0.0481304 0.418705 0.0190099 0.149535 0.163838 -0.580933 -0.515611 0.0434996 1.03454 1.19733 0
98018 -0.0455581 0.418981 0.0481419 12.3748 4.77876 2.50688 -0.563166 0.0454182 1.03468 8.27802 0
98021 -0.0276732 0.419619 0.0656017 12.3739 2.68592 1.27038 -0.514296 0.0400378 1.03499 4.32174 0
98023 -0.027695 0.418749 0.0481329 8.37238 1.79508 1.97859 -0.627943 0.0474863 1.03456 4.02854 0
98024 -0.0454452 0.419765 0.0656302 13.6035 4.13098 2.49897 -0.427468 0.0509168 1.03507 7.12985 0
98025 -0.0516502 0.419066 0.0423183 12.8152 6.00401 2.2928 -0.514622 0.0525486 1.03472 10.9099 0
98031 -0.0516799 0.418942 0.0248364 12.1574 6.46716 1.58281 -0.511996 0.0498448 1.03466 9.13261 0
98032 -0.0455793 0.418863 0.0423141 11.9745 5.00819 2.31278 -0.585076 0.0450597 1.03462 7.78303 0
98037 -0.0456048 0.418724 0.0248355 10.7639 5.4448 1.63708 -0.583515 0.0445568 1.03455 6.03136 0
98038 -0.027701 0.418614 0.0423084 6.94002 1.65457 2.35744 -0.6422 0.0494303 1.0345 3.39751 0
98039 -0.0516243 0.419172 0.0481486 13.0546 5.74787 2.5693 -0.499477 0.0532238 1.03477 10.8624 0
98045 -0.0514671 0.419873 0.065652 13.6106 4.60983 2.83166 -0.36788 0.0552464 1.03512 7.45822 0
98046 -0.00429478 0.418693 0.0481304 5.65479 0.0408818 0.229954 -0.607639 0.0505903 1.03454 1.88929 0
98049 -0.0218104 0.419601 0.065598 11.797 2.27142 0.853189 -0.522548 0.0388136 1.03499 3.53941 0
98051 -0.0218214 0.418723 0.0481317 7.0957 1.04313 1.68759 -0.623007 0.0500581 1.03455 3.17888 0
98052 -0.00429358 0.419578 0.0655932 10.0448 1.38208 -0.181087 -0.535988 0.0410729 1.03497 2.08823 0
